"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","original","men_normal_2676","men_normal_2691","menLCCstage1_270","menLCCstage1_507"
"4346",286.729400634766,286.729400634766,286.729400634766,192.681999,192.681999,192.681999,1,1,508.72199706207,533.304860689655,74263.8662251401,27448.3500268965
"4347",287.166137695312,287.166137695312,287.166137695312,282.5079918,282.5079918,282.5079918,1,1,802.972083360009,840.69982416001,1053.54716183997,1466.50370770001
"4348",287.173065185547,287.173065185547,287.173065185547,275.9050086,275.9050086,275.9050086,1,1,19654.5139559999,20186.2014155999,25676.636909116,32956.64080332
"4349",287.236122802452,287.236122802452,287.236122802452,461.2219908,461.2219908,461.2219908,1,1,15805.4786616001,14743.9612453715,3009.72028250004,2880.49794137144
"4350",287.238643264025,287.237642619479,287.238952636719,455.0910045,454.9340058,455.2510068,4,4,1593518.59201413,1189885.51944824,170834.076820992,118215.034907478
"4351",287.409953560591,287.409953560591,287.409953560591,454.9340058,454.9340058,454.9340058,1,1,47686.9526639999,33389.8595382856,445.191334560002,362.536801714285
"4352",287.888052811665,287.887847900391,287.888359852503,637.261476,637.103976,638.050002,4,4,11760.1567200002,9546.23650679974,237231.559093909,178231.999230001
"4353",287.887847900391,287.887847900391,287.888555045537,656.443518,654.083976,658.79997,8,4,89741.6593615393,80662.7380990003,145127.309171365,45217.5257519988
"4354",287.887847900391,287.887847900391,287.887847900391,650.625,647.483022,651.88299,5,3,45729.303543,99445.8522293341,168388.024165601,213360.489530999
"4355",288.199633739043,288.198911303965,288.200378417969,334.2210102,334.2200088,334.5330048,3,3,82008.2937310001,29879.8279661478,34496.9935491391,128811.435941689
"4356",288.241159252236,288.240697535175,288.241620969296,454.9340058,454.9340058,454.9340058,2,2,270644.419535308,205192.612633654,32019.5931616615,23849.9987703776
"4357",288.2406009177,288.2406009177,288.2406009177,461.2229922,461.2229922,461.2229922,1,1,3123.86715942859,3209.3922593143,949.908584200012,1239.79951782858
"4358",288.290710449219,288.288696416905,288.290710449219,305.219493,304.5909978,306.1649892,4,4,48363.6729272998,79233.6742970397,77811.42758196,75072.9027881999
"4359",288.288606182261,288.288606182261,288.288606182261,298.5449982,298.5449982,298.5449982,1,1,14729.2244061599,19931.6239804799,15942.5407423335,19039.7977256669
